device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,country,countryCode,region,regionName,city,zip,lat,lon,timezone,mobile,proxy,hosting
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,197.210.84.152,Nigeria,NG,RI,Rivers State,Port Harcourt,,4.7731,7.0085,Africa/Lagos,true,false,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.171.14,United Kingdom,GB,ENG,England,London,W1B,51.5074,-0.127758,Europe/London,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,104.238.38.34,United States,US,NY,New York,New York,10003,40.7359,-73.9904,America/New_York,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.172.110,United States,US,TX,Texas,Dallas,75270,32.7767,-96.797,America/Chicago,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.172.109,United States,US,TX,Texas,Dallas,75270,32.7767,-96.797,America/Chicago,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,209.234.253.186,Canada,CA,BC,British Columbia,Vancouver,V6B 4N6,49.2827,-123.1207,America/Vancouver,false,true,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.172.32,United States,US,TX,Texas,Dallas,75270,32.7767,-96.797,America/Chicago,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,173.213.86.30,United States,US,IL,Illinois,Chicago,60666,41.8781,-87.6298,America/Chicago,false,false,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,197.210.44.108,Nigeria,NG,LA,Lagos,Lagos,,6.44368,3.42653,Africa/Lagos,true,false,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.172.212,United States,US,TX,Texas,Dallas,75270,32.7767,-96.797,America/Chicago,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,197.210.29.78,Nigeria,NG,LA,Lagos,Lagos,,6.4474,3.3903,Africa/Lagos,true,false,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,104.238.38.155,United States,US,NY,New York,New York,10003,40.7359,-73.9904,America/New_York,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,64.145.94.183,United States,US,CA,California,Los Angeles,90012,34.0522,-118.2436,America/Los_Angeles,false,true,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,209.234.253.174,Canada,CA,BC,British Columbia,Vancouver,V6B 4N6,49.2827,-123.1207,America/Vancouver,false,true,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,209.197.30.176,United States,US,TX,Texas,Dallas,75201,32.7913,-96.8036,America/Chicago,false,false,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,64.145.94.70,United States,US,CA,California,Los Angeles,90012,34.0522,-118.2436,America/Los_Angeles,false,true,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,173.213.86.63,United States,US,IL,Illinois,Chicago,60666,41.8781,-87.6298,America/Chicago,false,false,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,64.145.94.87,United States,US,CA,California,Los Angeles,90012,34.0522,-118.2436,America/Los_Angeles,false,true,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,209.234.253.179,Canada,CA,BC,British Columbia,Vancouver,V6B 4N6,49.2827,-123.1207,America/Vancouver,false,true,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.172.235,United States,US,TX,Texas,Dallas,75270,32.7767,-96.797,America/Chicago,false,true,false
154d87ba-416f-4c68-a231-f42c2416b594,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
16d80166-543b-421f-9d6d-1a38ca25fa8c,13944790,Bank6,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.2,Chrome 79.0.3945,217.165.114.120,United Arab Emirates,AE,DU,Dubai,Dubai,,25.0731,55.298,Asia/Dubai,false,false,false
16d80166-543b-421f-9d6d-1a38ca25fa8c,13944790,Bank6,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.2,Chrome 79.0.3945,178.65.132.194,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,false,false
16d80166-543b-421f-9d6d-1a38ca25fa8c,-,Bank6,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.2,Chrome 79.0.3945,178.65.132.194,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,false,false
16d80166-543b-421f-9d6d-1a38ca25fa8c,-,Bank6,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,178.65.132.194,Russia,RU,SPE,St.-Petersburg,St Petersburg,190971,59.8983,30.2618,Europe/Moscow,false,false,false
1e27fd31-779e-4f55-a00a-51f92ffb046d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1680, 1050, 24)",Mac OS X 10.15.1,Chrome 79.0.3945,5.16.120.61,Russia,RU,SPE,St.-Petersburg,St Petersburg,190005,59.8983,30.2618,Europe/Moscow,false,false,false
1e27fd31-779e-4f55-a00a-51f92ffb046d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1680, 1050, 24)",Mac OS X 10.15.1,Chrome 79.0.3945,5.18.232.156,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,false,false,false
1e27fd31-779e-4f55-a00a-51f92ffb046d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1680, 1050, 24)",Mac OS X 10.15.1,Chrome 79.0.3945,217.66.156.115,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,true,false,false
1e27fd31-779e-4f55-a00a-51f92ffb046d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1680, 1050, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.85,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
1e27fd31-779e-4f55-a00a-51f92ffb046d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1680, 1050, 24)",Mac OS X 10.15.1,Chrome 79.0.3945,5.16.120.91,Russia,RU,SPE,St.-Petersburg,St Petersburg,190005,59.8983,30.2618,Europe/Moscow,false,false,false
